SIM,HSV1-nCSF1,HSV1-nCSF3,HSV1-nCSF4,HSV1-nCSF5,HSV1-nCSF6,HSV1-nCSF7,HSV1-nCSF9,HSV1-nCSF10,HSV1-nCSF11,HSV1-nCSF13,HSV-nCSF14,HSV1-nCSF15,HSV1-CSF6,HSV1-CSF7,HSV1-CSF8
0,2.59E-04,2.69E-04,2.50E-04,1.71E-04,2.99E-04,1.16E-03,2.02E-04,2.24E-04,3.56E-04,3.13E-04,1.74E-04,1.45E-04,2.34E-04,2.47E-04,3.11E-04
1,2.41E-04,2.47E-04,2.18E-04,1.70E-04,2.60E-04,1.11E-03,1.93E-04,2.00E-04,2.86E-04,2.61E-04,1.63E-04,1.49E-04,1.94E-04,2.05E-04,2.74E-04
2,2.40E-04,2.70E-04,2.27E-04,1.63E-04,2.61E-04,1.12E-03,2.09E-04,2.05E-04,3.22E-04,2.45E-04,1.64E-04,1.66E-04,1.90E-04,2.03E-04,2.50E-04
3,2.52E-04,2.52E-04,2.21E-04,1.83E-04,2.71E-04,1.14E-03,1.88E-04,2.18E-04,3.11E-04,2.54E-04,1.69E-04,1.46E-04,1.86E-04,1.85E-04,2.73E-04
4,2.35E-04,2.54E-04,2.07E-04,1.64E-04,2.68E-04,1.12E-03,1.95E-04,2.07E-04,3.06E-04,2.39E-04,1.76E-04,1.40E-04,1.91E-04,2.06E-04,2.50E-04
5,2.50E-04,2.43E-04,2.02E-04,1.55E-04,2.82E-04,1.13E-03,2.11E-04,2.16E-04,3.23E-04,2.52E-04,1.80E-04,1.47E-04,1.97E-04,2.00E-04,2.34E-04
6,2.48E-04,2.65E-04,2.05E-04,1.50E-04,2.73E-04,1.11E-03,1.97E-04,2.11E-04,3.06E-04,2.47E-04,1.59E-04,1.42E-04,1.97E-04,2.06E-04,2.54E-04
7,2.59E-04,2.59E-04,2.13E-04,1.61E-04,2.74E-04,1.13E-03,2.09E-04,2.23E-04,3.04E-04,2.69E-04,1.53E-04,1.55E-04,1.91E-04,2.28E-04,2.59E-04
8,2.52E-04,2.55E-04,2.13E-04,1.66E-04,2.54E-04,1.12E-03,2.09E-04,2.17E-04,3.21E-04,2.87E-04,1.54E-04,1.48E-04,1.71E-04,2.00E-04,2.38E-04
9,2.53E-04,2.61E-04,1.99E-04,1.73E-04,2.47E-04,1.11E-03,2.11E-04,2.26E-04,3.25E-04,2.52E-04,1.68E-04,1.46E-04,1.91E-04,2.23E-04,2.49E-04
