"position"	"HSV1-CSF10"	"HSV1-CSF12"	"HSV1-CSF13"	"HSV1-CSF1"	"HSV1-CSF2"	"HSV1-CSF3"	"HSV1-CSF4"	"HSV1-CSF5"	"HSV1-nCSF10"	"HSV1-nCSF11"	"HSV1-nCSF13"	"HSV1-nCSF14"	"HSV1-nCSF15"	"HSV1-nCSF1"	"HSV1-nCSF4"	"HSV1-nCSF5"	"HSV1-nCSF6"
11668	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0
11772	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
11774	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0
18138	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1
20572	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
20573	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
24719	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
24721	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
24727	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
24728	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
28939	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
30107	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
34869	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
34870	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
34872	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0
34882	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
34965	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1
35071	1	1	0	0	1	0	0	1	0	1	0	1	1	1	0	0	1
35079	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
36333	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0
40801	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
41718	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
42753	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
42759	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
43741	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
43742	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0
43743	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1
48722	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0
49176	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
50572	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
50752	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
50770	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0
52809	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
52817	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
52880	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
52885	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
52969	0	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0
53002	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
53073	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0
62142	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0
62152	0	0	0	1	1	0	1	1	0	0	0	1	0	1	0	1	1
62218	0	0	0	1	0	1	0	1	1	0	0	1	0	1	0	1	0
62223	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0
62751	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
71808	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0
79425	0	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	1
80516	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
80521	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
80650	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
80651	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	1
84288	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
84485	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
84486	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
93918	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94051	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1
94620	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	1	1
94624	0	1	0	0	1	1	0	1	0	1	0	0	1	0	0	1	1
94695	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
94696	0	0	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0
94701	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
98645	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
99191	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0
103480	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1
103515	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
105176	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	1	1
105181	1	1	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0
105381	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
105483	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
116064	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
116085	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0
116087	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
116093	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
116094	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1	0	1
117172	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
117189	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
134241	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
135065	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
135073	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0
136979	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
136992	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
137004	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0
137474	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0
137588	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0
137593	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
138015	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0
138129	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
139610	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1
139618	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
139628	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
139762	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	1	1
140450	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
141062	1	0	0	1	0	0	1	0	0	1	1	1	1	0	1	1	0
141064	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
141803	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1
143638	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
144835	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
144843	1	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	0
144849	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
145264	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1
