seqname	totals	genomelength	meancov.all	cov.250	cov.100	cov.10	cov.1
HSV1-CSF10.coverage.stats:HSV1-CSF10	152221	120902	181.9	24	65.9	98.3	99.9
HSV1-CSF12.coverage.stats:HSV1-CSF12	152221	120834	190	26.7	66.9	98.7	99.9
HSV1-CSF13.coverage.stats:HSV1-CSF13	152221	120249	62.7	1.3	18.2	90.3	99.6
HSV1-CSF1.coverage.stats:HSV1-CSF1	152221	121306	2045.8	97.3	99	99.8	99.9
HSV1-CSF2.coverage.stats:HSV1-CSF2	152221	121153	1016.6	94.3	98.4	99.7	99.9
HSV1-CSF3.coverage.stats:HSV1-CSF3	152221	121264	594.3	86.9	95.4	99.5	99.7
HSV1-CSF4.coverage.stats:HSV1-CSF4	152221	121217	1418.3	94.7	97.9	99.7	99.9
HSV1-CSF5.coverage.stats:HSV1-CSF5	152221	121298	1224.2	94.2	98.2	99.7	99.9
HSV1-nCSF10.coverage.stats:HSV1-nCSF10	152221	121430	5155.2	99.2	99.5	99.8	99.9
HSV1-nCSF11.coverage.stats:HSV1-nCSF11	152221	121281	4994.9	99.3	99.6	99.8	99.9
HSV1-nCSF13.coverage.stats:HSV1-nCSF13	152221	121186	792.4	85.7	96.7	99.7	99.9
HSV1-nCSF14.coverage.stats:HSV1-nCSF14	152221	121291	2458.7	97.9	99.4	99.8	100
HSV1-nCSF15.coverage.stats:HSV1-nCSF15	152221	121274	3278.5	97.8	99.2	99.8	99.9
HSV1-nCSF1.coverage.stats:HSV1-nCSF1	152221	121180	1439.6	95	98.7	99.7	100
HSV1-nCSF4.coverage.stats:HSV1-nCSF4	152221	121235	373.7	58.5	85.8	99.3	100
HSV1-nCSF5.coverage.stats:HSV1-nCSF5	152221	121314	2280.4	97.5	99	99.7	99.9
HSV1-nCSF6.coverage.stats:HSV1-nCSF6	152221	121192	953.2	87.8	97.4	99.7	100
HSV1-nCSF7.coverage.stats:HSV1-nCSF7	152221	121464	3354.1	98.7	99.5	99.8	99.8
